"date","region","bv_seq"
2016-12-22,"Africa",7
2016-12-22,"Americas",33
2016-12-22,"Asia",18
2016-12-22,"Europe",11
2016-12-29,"Americas",24
2016-12-29,"Asia",19
2016-12-29,"Europe",8
2017-01-05,"Africa",13
2017-01-05,"Americas",20
2017-01-05,"Asia",35
2017-01-05,"Europe",8
2017-01-12,"Africa",7
2017-01-12,"Americas",26
2017-01-12,"Asia",26
2017-01-12,"Europe",4
2017-01-19,"Africa",10
2017-01-19,"Americas",23
2017-01-19,"Asia",21
2017-01-19,"Europe",14
2017-01-19,"Oceania",4
2017-01-26,"Africa",7
2017-01-26,"Americas",16
2017-01-26,"Asia",21
2017-01-26,"Europe",9
2017-02-02,"Africa",8
2017-02-02,"Americas",29
2017-02-02,"Asia",22
2017-02-02,"Europe",17
2017-02-02,"Oceania",1
2017-02-09,"Africa",8
2017-02-09,"Americas",41
2017-02-09,"Asia",28
2017-02-09,"Europe",9
2017-02-09,"Oceania",1
2017-02-16,"Africa",9
2017-02-16,"Americas",41
2017-02-16,"Asia",12
2017-02-16,"Europe",34
2017-02-16,"Oceania",1
2017-02-23,"Africa",7
2017-02-23,"Americas",45
2017-02-23,"Asia",18
2017-02-23,"Europe",14
2017-03-02,"Africa",8
2017-03-02,"Americas",59
2017-03-02,"Asia",21
2017-03-02,"Europe",23
2017-03-02,"Oceania",1
2017-03-09,"Africa",13
2017-03-09,"Americas",69
2017-03-09,"Asia",16
2017-03-09,"Europe",24
2017-03-16,"Africa",3
2017-03-16,"Americas",83
2017-03-16,"Asia",17
2017-03-16,"Europe",24
2017-03-23,"Africa",4
2017-03-23,"Americas",101
2017-03-23,"Asia",20
2017-03-23,"Europe",30
2017-03-30,"Americas",89
2017-03-30,"Asia",16
2017-03-30,"Europe",20
2017-04-06,"Africa",3
2017-04-06,"Americas",100
2017-04-06,"Asia",9
2017-04-06,"Europe",21
2017-04-13,"Africa",2
2017-04-13,"Americas",57
2017-04-13,"Asia",11
2017-04-13,"Europe",6
2017-04-20,"Americas",33
2017-04-20,"Asia",18
2017-04-20,"Europe",25
2017-04-20,"Oceania",1
2017-04-27,"Africa",4
2017-04-27,"Americas",56
2017-04-27,"Asia",20
2017-04-27,"Europe",14
2017-05-04,"Africa",4
2017-05-04,"Americas",23
2017-05-04,"Asia",13
2017-05-04,"Europe",8
2017-05-11,"Americas",19
2017-05-11,"Asia",14
2017-05-18,"Africa",8
2017-05-18,"Americas",24
2017-05-18,"Asia",10
2017-05-18,"Europe",1
2017-05-18,"Oceania",1
2017-05-25,"Africa",1
2017-05-25,"Americas",14
2017-05-25,"Asia",14
2017-05-25,"Europe",1
2017-05-25,"Oceania",1
2017-06-01,"Africa",1
2017-06-01,"Americas",23
2017-06-01,"Asia",12
2017-06-01,"Europe",1
2017-06-08,"Americas",15
2017-06-08,"Asia",16
2017-06-08,"Europe",3
2017-06-08,"Oceania",1
2017-06-15,"Africa",3
2017-06-15,"Americas",12
2017-06-15,"Asia",11
2017-06-15,"Europe",1
2017-06-15,"Oceania",3
2017-06-22,"Africa",2
2017-06-22,"Americas",18
2017-06-22,"Asia",6
2017-06-22,"Europe",1
2017-06-22,"Oceania",2
2017-06-29,"Americas",16
2017-06-29,"Asia",2
2017-06-29,"Oceania",1
2017-07-06,"Africa",4
2017-07-06,"Americas",13
2017-07-06,"Asia",3
2017-07-06,"Oceania",1
2017-07-13,"Americas",15
2017-07-13,"Asia",4
2017-07-13,"Oceania",1
2017-07-20,"Africa",1
2017-07-20,"Americas",8
2017-07-20,"Asia",3
2017-07-20,"Oceania",1
2017-07-27,"Americas",7
2017-07-27,"Asia",6
2017-07-27,"Oceania",2
2017-08-03,"Americas",6
2017-08-03,"Asia",6
2017-08-03,"Oceania",2
2017-08-10,"Africa",1
2017-08-10,"Americas",8
2017-08-10,"Asia",14
2017-08-10,"Oceania",2
2017-08-17,"Africa",1
2017-08-17,"Americas",5
2017-08-17,"Asia",4
2017-08-24,"Americas",3
2017-08-24,"Asia",2
2017-08-31,"Africa",1
2017-08-31,"Americas",1
2017-08-31,"Asia",2
2017-09-07,"Africa",6
2017-09-07,"Asia",4
2017-09-07,"Europe",2
2017-09-07,"Oceania",2
2017-09-14,"Africa",4
2017-09-14,"Americas",5
2017-09-14,"Asia",6
2017-09-14,"Europe",2
2017-09-14,"Oceania",1
2017-09-21,"Africa",1
2017-09-21,"Americas",1
2017-09-21,"Asia",7
2017-09-28,"Africa",3
2017-09-28,"Americas",1
2017-09-28,"Asia",3
2017-09-28,"Oceania",1
2017-10-05,"Africa",3
2017-10-05,"Americas",5
2017-10-05,"Asia",4
2017-10-05,"Oceania",3
2017-10-12,"Africa",4
2017-10-12,"Americas",6
2017-10-12,"Asia",6
2017-10-12,"Oceania",1
2017-10-19,"Africa",2
2017-10-19,"Americas",3
2017-10-19,"Asia",13
2017-10-19,"Oceania",2
2017-10-26,"Africa",2
2017-10-26,"Americas",8
2017-10-26,"Asia",8
2017-11-02,"Africa",2
2017-11-02,"Americas",7
2017-11-02,"Asia",7
2017-11-09,"Africa",1
2017-11-09,"Americas",16
2017-11-09,"Asia",8
2017-11-09,"Europe",1
2017-11-09,"Oceania",1
2017-11-16,"Americas",9
2017-11-16,"Asia",7
2017-11-16,"Europe",6
2017-11-23,"Africa",1
2017-11-23,"Americas",8
2017-11-23,"Asia",11
2017-11-23,"Europe",5
2017-11-23,"Oceania",2
2017-11-30,"Africa",1
2017-11-30,"Americas",16
2017-11-30,"Asia",19
2017-11-30,"Europe",10
2017-11-30,"Oceania",1
2017-12-07,"Africa",2
2017-12-07,"Americas",21
2017-12-07,"Asia",15
2017-12-07,"Europe",10
2017-12-07,"Oceania",1
2017-12-14,"Americas",21
2017-12-14,"Asia",24
2017-12-14,"Europe",13
2017-12-14,"Oceania",1
2017-12-21,"Americas",19
2017-12-21,"Asia",19
2017-12-21,"Europe",19
2017-12-28,"Americas",31
2017-12-28,"Asia",8
2017-12-28,"Europe",24
2018-01-04,"Africa",3
2018-01-04,"Americas",35
2018-01-04,"Asia",29
2018-01-04,"Europe",16
2018-01-11,"Africa",4
2018-01-11,"Americas",30
2018-01-11,"Asia",10
2018-01-11,"Europe",6
2018-01-11,"Oceania",1
2018-01-18,"Africa",6
2018-01-18,"Americas",18
2018-01-18,"Asia",19
2018-01-18,"Europe",12
2018-01-25,"Africa",2
2018-01-25,"Americas",36
2018-01-25,"Asia",15
2018-01-25,"Europe",14
2018-02-01,"Africa",3
2018-02-01,"Americas",51
2018-02-01,"Asia",10
2018-02-01,"Europe",9
2018-02-08,"Africa",4
2018-02-08,"Americas",47
2018-02-08,"Asia",14
2018-02-08,"Europe",4
2018-02-15,"Africa",2
2018-02-15,"Americas",45
2018-02-15,"Asia",9
2018-02-15,"Europe",9
2018-02-22,"Africa",3
2018-02-22,"Americas",33
2018-02-22,"Asia",4
2018-02-22,"Europe",10
2018-03-01,"Americas",34
2018-03-01,"Asia",17
2018-03-01,"Europe",15
2018-03-01,"Oceania",2
2018-03-08,"Africa",1
2018-03-08,"Americas",36
2018-03-08,"Asia",12
2018-03-08,"Europe",15
2018-03-08,"Oceania",1
2018-03-15,"Africa",1
2018-03-15,"Americas",25
2018-03-15,"Asia",10
2018-03-15,"Europe",4
2018-03-22,"Americas",34
2018-03-22,"Asia",14
2018-03-22,"Europe",9
2018-03-29,"Americas",31
2018-03-29,"Asia",6
2018-03-29,"Europe",6
2018-04-05,"Americas",16
2018-04-05,"Asia",7
2018-04-05,"Europe",3
2018-04-12,"Americas",24
2018-04-12,"Asia",6
2018-04-19,"Africa",2
2018-04-19,"Americas",17
2018-04-19,"Asia",11
2018-04-26,"Americas",16
2018-04-26,"Asia",4
2018-05-03,"Americas",7
2018-05-03,"Asia",7
2018-05-10,"Africa",1
2018-05-10,"Americas",14
2018-05-10,"Asia",2
2018-05-10,"Oceania",2
2018-05-17,"Americas",8
2018-05-17,"Asia",4
2018-05-24,"Americas",4
2018-05-24,"Asia",2
2018-05-31,"Americas",4
2018-05-31,"Asia",1
2018-06-07,"Africa",1
2018-06-07,"Americas",8
2018-06-07,"Asia",8
2018-06-14,"Americas",4
2018-06-14,"Asia",2
2018-06-14,"Oceania",2
2018-06-21,"Africa",2
2018-06-21,"Americas",5
2018-06-21,"Asia",3
2018-06-21,"Oceania",1
2018-06-28,"Africa",4
2018-06-28,"Americas",2
2018-06-28,"Asia",2
2018-07-05,"Africa",6
2018-07-05,"Americas",3
2018-07-05,"Asia",3
2018-07-12,"Americas",6
2018-07-19,"Africa",1
2018-07-19,"Americas",2
2018-07-19,"Asia",2
2018-07-19,"Oceania",1
2018-07-26,"Africa",4
2018-07-26,"Americas",7
2018-07-26,"Asia",4
2018-08-02,"Asia",1
2018-08-09,"Americas",3
2018-08-09,"Asia",1
2018-08-16,"Americas",6
2018-08-16,"Asia",7
2018-08-23,"Africa",3
2018-08-23,"Americas",2
2018-08-23,"Asia",1
2018-08-23,"Europe",1
2018-08-23,"Oceania",1
2018-08-30,"Africa",2
2018-08-30,"Americas",2
2018-08-30,"Asia",2
2018-08-30,"Oceania",1
2018-09-06,"Americas",5
2018-09-06,"Asia",3
2018-09-13,"Africa",2
2018-09-13,"Americas",4
2018-09-13,"Asia",2
2018-09-20,"Americas",4
2018-09-20,"Asia",1
2018-09-27,"Americas",4
2018-09-27,"Asia",4
2018-10-04,"Africa",4
2018-10-04,"Americas",4
2018-10-04,"Asia",4
2018-10-11,"Africa",12
2018-10-11,"Americas",2
2018-10-11,"Asia",12
2018-10-18,"Africa",14
2018-10-18,"Americas",4
2018-10-18,"Asia",5
2018-10-18,"Oceania",2
2018-10-25,"Africa",9
2018-10-25,"Americas",8
2018-10-25,"Asia",11
2018-11-01,"Africa",13
2018-11-01,"Americas",7
2018-11-01,"Asia",1
2018-11-01,"Oceania",2
2018-11-08,"Africa",14
2018-11-08,"Americas",6
2018-11-08,"Asia",13
2018-11-08,"Europe",2
2018-11-08,"Oceania",1
2018-11-15,"Africa",13
2018-11-15,"Americas",4
2018-11-15,"Asia",21
2018-11-22,"Africa",4
2018-11-22,"Americas",7
2018-11-22,"Asia",7
2018-11-29,"Africa",3
2018-11-29,"Americas",8
2018-11-29,"Asia",25
2018-11-29,"Europe",1
2018-11-29,"Oceania",1
2018-12-06,"Africa",9
2018-12-06,"Americas",9
2018-12-06,"Asia",19
2018-12-06,"Europe",3
2018-12-06,"Oceania",1
2018-12-13,"Africa",5
2018-12-13,"Americas",9
2018-12-13,"Asia",12
2018-12-13,"Europe",3
2018-12-13,"Oceania",1
2018-12-20,"Africa",2
2018-12-20,"Americas",12
2018-12-20,"Asia",23
2018-12-20,"Europe",3
2018-12-20,"Oceania",2
2018-12-27,"Americas",10
2018-12-27,"Asia",17
2018-12-27,"Europe",2
2019-01-03,"Africa",1
2019-01-03,"Americas",6
2019-01-03,"Asia",21
2019-01-03,"Oceania",2
2019-01-10,"Africa",3
2019-01-10,"Americas",14
2019-01-10,"Asia",13
2019-01-10,"Oceania",2
2019-01-17,"Africa",4
2019-01-17,"Americas",22
2019-01-17,"Asia",33
2019-01-17,"Europe",4
2019-01-17,"Oceania",1
2019-01-24,"Africa",3
2019-01-24,"Americas",16
2019-01-24,"Asia",15
2019-01-24,"Europe",2
2019-01-24,"Oceania",1
2019-01-31,"Africa",2
2019-01-31,"Americas",23
2019-01-31,"Asia",18
2019-01-31,"Europe",4
2019-02-07,"Africa",1
2019-02-07,"Americas",22
2019-02-07,"Asia",22
2019-02-07,"Europe",3
2019-02-07,"Oceania",2
2019-02-14,"Africa",2
2019-02-14,"Americas",19
2019-02-14,"Asia",29
2019-02-14,"Europe",1
2019-02-21,"Africa",2
2019-02-21,"Americas",29
2019-02-21,"Asia",31
2019-02-21,"Europe",4
2019-02-21,"Oceania",4
2019-02-28,"Africa",1
2019-02-28,"Americas",30
2019-02-28,"Asia",26
2019-02-28,"Oceania",4
2019-03-07,"Africa",7
2019-03-07,"Americas",32
2019-03-07,"Asia",54
2019-03-07,"Europe",7
2019-03-07,"Oceania",3
2019-03-14,"Africa",7
2019-03-14,"Americas",42
2019-03-14,"Asia",36
2019-03-14,"Europe",5
2019-03-14,"Oceania",3
2019-03-21,"Africa",12
2019-03-21,"Americas",40
2019-03-21,"Asia",35
2019-03-21,"Europe",3
2019-03-21,"Oceania",3
2019-03-28,"Africa",4
2019-03-28,"Americas",44
2019-03-28,"Asia",28
2019-03-28,"Oceania",7
2019-04-04,"Africa",2
2019-04-04,"Americas",48
2019-04-04,"Asia",33
2019-04-04,"Europe",3
2019-04-04,"Oceania",7
2019-04-11,"Africa",1
2019-04-11,"Americas",50
2019-04-11,"Asia",30
2019-04-11,"Europe",5
2019-04-11,"Oceania",5
2019-04-18,"Africa",2
2019-04-18,"Americas",46
2019-04-18,"Asia",52
2019-04-18,"Europe",6
2019-04-18,"Oceania",5
2019-04-25,"Africa",3
2019-04-25,"Americas",34
2019-04-25,"Asia",44
2019-04-25,"Europe",3
2019-04-25,"Oceania",6
2019-05-02,"Africa",4
2019-05-02,"Americas",31
2019-05-02,"Asia",28
2019-05-02,"Europe",1
2019-05-02,"Oceania",16
2019-05-09,"Africa",3
2019-05-09,"Americas",16
2019-05-09,"Asia",41
2019-05-09,"Europe",3
2019-05-09,"Oceania",13
2019-05-16,"Africa",2
2019-05-16,"Americas",32
2019-05-16,"Asia",25
2019-05-16,"Europe",4
2019-05-16,"Oceania",12
2019-05-23,"Africa",3
2019-05-23,"Americas",22
2019-05-23,"Asia",21
2019-05-23,"Europe",3
2019-05-23,"Oceania",9
2019-05-30,"Africa",5
2019-05-30,"Americas",24
2019-05-30,"Asia",28
2019-05-30,"Oceania",5
2019-06-06,"Africa",7
2019-06-06,"Americas",23
2019-06-06,"Asia",33
2019-06-06,"Europe",1
2019-06-06,"Oceania",12
2019-06-13,"Africa",5
2019-06-13,"Americas",25
2019-06-13,"Asia",37
2019-06-13,"Europe",1
2019-06-13,"Oceania",9
2019-06-20,"Africa",6
2019-06-20,"Americas",15
2019-06-20,"Asia",48
2019-06-20,"Oceania",8
2019-06-27,"Africa",4
2019-06-27,"Americas",12
2019-06-27,"Asia",20
2019-06-27,"Europe",1
2019-06-27,"Oceania",4
2019-07-04,"Africa",3
2019-07-04,"Americas",12
2019-07-04,"Asia",38
2019-07-04,"Europe",1
2019-07-04,"Oceania",6
2019-07-11,"Africa",2
2019-07-11,"Americas",12
2019-07-11,"Asia",22
2019-07-11,"Europe",1
2019-07-11,"Oceania",7
2019-07-18,"Africa",7
2019-07-18,"Americas",3
2019-07-18,"Asia",20
2019-07-18,"Europe",1
2019-07-18,"Oceania",7
2019-07-25,"Africa",2
2019-07-25,"Americas",6
2019-07-25,"Asia",11
2019-07-25,"Europe",4
2019-07-25,"Oceania",6
2019-08-01,"Africa",3
2019-08-01,"Americas",8
2019-08-01,"Asia",17
2019-08-01,"Europe",2
2019-08-01,"Oceania",5
2019-08-08,"Africa",3
2019-08-08,"Americas",14
2019-08-08,"Asia",26
2019-08-08,"Europe",4
2019-08-08,"Oceania",9
2019-08-15,"Africa",1
2019-08-15,"Americas",11
2019-08-15,"Asia",18
2019-08-15,"Europe",1
2019-08-15,"Oceania",11
2019-08-22,"Africa",2
2019-08-22,"Americas",21
2019-08-22,"Asia",23
2019-08-22,"Europe",4
2019-08-22,"Oceania",2
2019-08-29,"Africa",5
2019-08-29,"Americas",18
2019-08-29,"Asia",9
2019-08-29,"Europe",1
2019-08-29,"Oceania",7
2019-09-05,"Africa",1
2019-09-05,"Americas",27
2019-09-05,"Asia",22
2019-09-05,"Europe",1
2019-09-05,"Oceania",17
2019-09-12,"Africa",4
2019-09-12,"Americas",43
2019-09-12,"Asia",18
2019-09-12,"Europe",1
2019-09-12,"Oceania",14
2019-09-19,"Africa",11
2019-09-19,"Americas",34
2019-09-19,"Asia",22
2019-09-19,"Europe",7
2019-09-19,"Oceania",14
2019-09-26,"Africa",11
2019-09-26,"Americas",30
2019-09-26,"Asia",16
2019-09-26,"Europe",4
2019-09-26,"Oceania",12
2019-10-03,"Africa",4
2019-10-03,"Americas",36
2019-10-03,"Asia",16
2019-10-03,"Europe",10
2019-10-03,"Oceania",12
2019-10-10,"Africa",8
2019-10-10,"Americas",44
2019-10-10,"Asia",33
2019-10-10,"Europe",4
2019-10-10,"Oceania",11
2019-10-17,"Africa",3
2019-10-17,"Americas",61
2019-10-17,"Asia",32
2019-10-17,"Europe",6
2019-10-17,"Oceania",9
2019-10-24,"Africa",3
2019-10-24,"Americas",76
2019-10-24,"Asia",33
2019-10-24,"Europe",7
2019-10-24,"Oceania",5
2019-10-31,"Africa",10
2019-10-31,"Americas",66
2019-10-31,"Asia",38
2019-10-31,"Europe",8
2019-10-31,"Oceania",4
2019-11-07,"Africa",14
2019-11-07,"Americas",132
2019-11-07,"Asia",34
2019-11-07,"Europe",28
2019-11-07,"Oceania",2
2019-11-14,"Africa",11
2019-11-14,"Americas",164
2019-11-14,"Asia",29
2019-11-14,"Europe",48
2019-11-14,"Oceania",3
2019-11-21,"Africa",15
2019-11-21,"Americas",238
2019-11-21,"Asia",25
2019-11-21,"Europe",62
2019-11-21,"Oceania",1
2019-11-28,"Africa",13
2019-11-28,"Americas",172
2019-11-28,"Asia",37
2019-11-28,"Europe",86
2019-11-28,"Oceania",2
2019-12-05,"Africa",3
2019-12-05,"Americas",220
2019-12-05,"Asia",62
2019-12-05,"Europe",75
2019-12-05,"Oceania",5
2019-12-12,"Africa",3
2019-12-12,"Americas",280
2019-12-12,"Asia",58
2019-12-12,"Europe",122
2019-12-19,"Africa",10
2019-12-19,"Americas",272
2019-12-19,"Asia",44
2019-12-19,"Europe",128
2019-12-26,"Africa",5
2019-12-26,"Americas",176
2019-12-26,"Asia",38
2019-12-26,"Europe",82
2020-01-02,"Africa",3
2020-01-02,"Americas",210
2020-01-02,"Asia",37
2020-01-02,"Europe",93
2020-01-02,"Oceania",3
2020-01-09,"Africa",14
2020-01-09,"Americas",259
2020-01-09,"Asia",47
2020-01-09,"Europe",101
2020-01-09,"Oceania",4
2020-01-16,"Africa",17
2020-01-16,"Americas",214
2020-01-16,"Asia",49
2020-01-16,"Europe",131
2020-01-16,"Oceania",1
2020-01-23,"Africa",6
2020-01-23,"Americas",240
2020-01-23,"Asia",49
2020-01-23,"Europe",92
2020-01-23,"Oceania",3
2020-01-30,"Africa",7
2020-01-30,"Americas",241
2020-01-30,"Asia",49
2020-01-30,"Europe",120
2020-01-30,"Oceania",7
2020-02-06,"Africa",4
2020-02-06,"Americas",210
2020-02-06,"Asia",34
2020-02-06,"Europe",111
2020-02-06,"Oceania",4
2020-02-13,"Africa",6
2020-02-13,"Americas",151
2020-02-13,"Asia",11
2020-02-13,"Europe",101
2020-02-13,"Oceania",2
2020-02-20,"Africa",5
2020-02-20,"Americas",138
2020-02-20,"Asia",18
2020-02-20,"Europe",96
2020-02-20,"Oceania",1
2020-02-27,"Africa",4
2020-02-27,"Americas",104
2020-02-27,"Asia",16
2020-02-27,"Europe",97
2020-02-27,"Oceania",1
2020-03-05,"Africa",3
2020-03-05,"Americas",106
2020-03-05,"Asia",21
2020-03-05,"Europe",106
2020-03-05,"Oceania",2
2020-03-12,"Africa",10
2020-03-12,"Americas",80
2020-03-12,"Asia",23
2020-03-12,"Europe",93
2020-03-12,"Oceania",2
2020-03-19,"Africa",1
2020-03-19,"Americas",36
2020-03-19,"Asia",18
2020-03-19,"Europe",45
2020-03-26,"Africa",3
2020-03-26,"Americas",6
2020-03-26,"Asia",5
2020-03-26,"Europe",29
2020-04-02,"Africa",1
2020-04-02,"Americas",7
2020-04-02,"Asia",4
2020-04-02,"Europe",3
2020-04-09,"Africa",2
2020-04-09,"Americas",1
2020-04-09,"Asia",1
2020-04-09,"Europe",1
